"","beer_name","style","abv","ibu","ounces","brewery_name","city","state"
"1","Get Together","American IPA",0.045,50,16,"NorthGate Brewing ","Minneapolis"," MN"
"2","Maggie's Leap","Milk / Sweet Stout",0.049,26,16,"NorthGate Brewing ","Minneapolis"," MN"
"3","Wall's End","English Brown Ale",0.048,19,16,"NorthGate Brewing ","Minneapolis"," MN"
"4","Pumpion","Pumpkin Ale",0.06,38,16,"NorthGate Brewing ","Minneapolis"," MN"
"5","Stronghold","American Porter",0.06,25,16,"NorthGate Brewing ","Minneapolis"," MN"
"6","Parapet ESB","Extra Special / Strong Bitter (ESB)",0.056,47,16,"NorthGate Brewing ","Minneapolis"," MN"
"7","Citra Ass Down","American Double / Imperial IPA",0.08,68,16,"Against the Grain Brewery","Louisville"," KY"
"8","London Balling","English Barleywine",0.125,80,16,"Against the Grain Brewery","Louisville"," KY"
"9","35 K","Milk / Sweet Stout",0.077,25,16,"Against the Grain Brewery","Louisville"," KY"
"10","A Beer","American Pale Ale (APA)",0.042,42,16,"Against the Grain Brewery","Louisville"," KY"
"11","Rules are Rules","German Pilsener",0.05,25,16,"Against the Grain Brewery","Louisville"," KY"
"12","Flesh Gourd'n","Pumpkin Ale",0.066,21,16,"Against the Grain Brewery","Louisville"," KY"
"13","Sho'nuff","Belgian Pale Ale",0.04,13,16,"Against the Grain Brewery","Louisville"," KY"
"14","Bloody Show","American Pilsner",0.055,17,16,"Against the Grain Brewery","Louisville"," KY"
"15","Rico Sauvin","American Double / Imperial IPA",0.076,68,16,"Against the Grain Brewery","Louisville"," KY"
"16","Coq de la Marche","Saison / Farmhouse Ale",0.051,38,16,"Against the Grain Brewery","Louisville"," KY"
"17","Pile of Face","American IPA",0.06,65,16,"Against the Grain Brewery","Louisville"," KY"
"18","The Brown Note","English Brown Ale",0.05,20,16,"Against the Grain Brewery","Louisville"," KY"
"19","House Lager","Keller Bier / Zwickel Bier",0.052,18,16,"Jack's Abby Craft Lagers","Framingham"," MA"
"20","Leisure Time","American Pale Lager",0.048,15,12,"Jack's Abby Craft Lagers","Framingham"," MA"
"21","Excess IPL","American India Pale Lager",0.072,80,16,"Jack's Abby Craft Lagers","Framingham"," MA"
"22","Hoponius Union","American India Pale Lager",0.067,65,12,"Jack's Abby Craft Lagers","Framingham"," MA"
"23","Calyptra","American India Pale Lager",0.049,45,12,"Jack's Abby Craft Lagers","Framingham"," MA"
"24","Habitus (2014)","American Double / Imperial IPA",0.08,100,16,"Mike Hess Brewing Company","San Diego"," CA"
"25","Solis","American IPA",0.075,85,16,"Mike Hess Brewing Company","San Diego"," CA"
"26","Jucundus","Wheat Ale",0.06,24,16,"Mike Hess Brewing Company","San Diego"," CA"
"27","Habitus","American Double / Imperial IPA",0.08,100,16,"Mike Hess Brewing Company","San Diego"," CA"
"28","Grazias","Cream Ale",0.063,30,16,"Mike Hess Brewing Company","San Diego"," CA"
"29","Claritas","Kölsch",0.058,28,16,"Mike Hess Brewing Company","San Diego"," CA"
"30","Park","American Pale Wheat Ale",0.047,19,12,"Fort Point Beer Company","San Francisco"," CA"
"31","Westfalia","American Amber / Red Ale",0.056,16,12,"Fort Point Beer Company","San Francisco"," CA"
"32","KSA","Kölsch",0.046,17,12,"Fort Point Beer Company","San Francisco"," CA"
"33","Villager","American IPA",0.063,42,12,"Fort Point Beer Company","San Francisco"," CA"
"34","Yeti  Imperial Stout","Russian Imperial Stout",0.095,75,12,"Great Divide Brewing Company","Denver"," CO"
"35","Peck's Porter","American Porter",0.065,35,16,"Tapistry Brewing","Bridgman"," MI"
"36","Dark Star","American Stout",0.08,54,16,"Big Lake Brewing","Holland"," MI"
"37","Sparkle","American Pale Lager",0.041,12,16,"Petoskey Brewing","Petoskey"," MI"
"38","North 45 Amber Ale","American Amber / Red Ale",0.059,25,16,"Petoskey Brewing","Petoskey"," MI"
"39","Horny Monk","Dubbel",0.069,20,16,"Petoskey Brewing","Petoskey"," MI"
"40","Mind's Eye PA","American IPA",0.067,74,16,"Petoskey Brewing","Petoskey"," MI"
"41","Nordskye ","American IPA",0.048,47,12,"Blackrocks Brewery","Marquette"," MI"
"42","North Third Stout","Foreign / Export Stout",0.06,30,12,"Blackrocks Brewery","Marquette"," MI"
"43","51K IPA","American IPA",0.07,51,12,"Blackrocks Brewery","Marquette"," MI"
"44","Hotbox Brown","American Brown Ale",0.055,10,12,"Perrin Brewing Company","Comstock Park"," MI"
"45","Gold","American Blonde Ale",0.048,15,12,"Perrin Brewing Company","Comstock Park"," MI"
"46","98 Problems (Cuz A Hop Ain't One)","American IPA",0.065,65,12,"Perrin Brewing Company","Comstock Park"," MI"
"47","Veteran’s Pale Ale (VPA)","American Pale Ale (APA)",0.05,40,12,"Perrin Brewing Company","Comstock Park"," MI"
"48","Grapefruit IPA","American IPA",0.05,35,12,"Perrin Brewing Company","Comstock Park"," MI"
"49","Train Hopper","American IPA",0.058,72,12,"Witch's Hat Brewing Company","South Lyon"," MI"
"50","Dirty Bastard","Scotch Ale / Wee Heavy",0.085,50,12,"Founders Brewing Company","Grand Rapids"," MI"
"51","Centennial IPA","American IPA",0.072,65,12,"Founders Brewing Company","Grand Rapids"," MI"
"52","All Day IPA","American IPA",0.047,42,12,"Founders Brewing Company","Grand Rapids"," MI"
"53","Hinchtown Hammer Down","American Blonde Ale",0.05,27,16,"Flat 12 Bierwerks","Indianapolis"," IN"
"54","Half Cycle IPA","American IPA",0.06,104,16,"Flat 12 Bierwerks","Indianapolis"," IN"
"55","Cafe Leche","American Porter",0.058,20,16,"Tin Man Brewing Company","Evansville"," IN"
"56","Damascene Apricot Sour","Fruit / Vegetable Beer",0.052,12,16,"Tin Man Brewing Company","Evansville"," IN"
"57","Csar","Russian Imperial Stout",0.12,90,16,"Tin Man Brewing Company","Evansville"," IN"
"58","Overlord Imperial IPA","American Double / Imperial IPA",0.085,115,16,"Tin Man Brewing Company","Evansville"," IN"
"59","Alloy","American IPA",0.058,36,16,"Tin Man Brewing Company","Evansville"," IN"
"60","Rivet Irish Red Ale","Irish Red Ale",0.051,22,16,"Tin Man Brewing Company","Evansville"," IN"
"61","3 Gear Robust Porter","American Porter",0.052,50,16,"Tin Man Brewing Company","Evansville"," IN"
"62","Circuit Bohemian Pilsner","Czech Pilsener",0.045,35,16,"Tin Man Brewing Company","Evansville"," IN"
"63","Saucy Intruder","Rye Beer",0.072,75,16,"Black Acre Brewing Co.","Indianapolis"," IN"
"64","Thai.p.a","American IPA",0.07,46,16,"Bare Hands Brewery","Granger"," IN"
"65","Citra Faced","American Pale Wheat Ale",0.055,64,16,"Three Pints Brewing","Martinsville"," IN"
"66","Pole Barn Stout","Oatmeal Stout",0.055,31,16,"Three Pints Brewing","Martinsville"," IN"
"67","Pale","American Pale Ale (APA)",0.054,37,16,"Three Pints Brewing","Martinsville"," IN"
"68","Yoshi's Nectar","California Common / Steam Beer",0.053,27,16,"Three Pints Brewing","Martinsville"," IN"
"69","The Gadget","American IPA",0.064,90,16,"Four Fathers Brewing ","Valparaiso"," IN"
"70","Tribute","American Pale Ale (APA)",0.058,58,12,"Indiana City Brewing","Indianapolis"," IN"
"71","Pale Alement","American Pale Ale (APA)",0.055,40,12,"Burn 'Em Brewing","Michigan City"," IN"
"72","Hopkick Dropkick","American Double / Imperial IPA",0.099,115,12,"Burn 'Em Brewing","Michigan City"," IN"
"73","Joey Wheat","American Pale Wheat Ale",0.068,16,16,"Burn 'Em Brewing","Michigan City"," IN"
"74","3:33 Black IPA","American IPA",0.072,86,16,"Burn 'Em Brewing","Michigan City"," IN"
"75","Pale Alement","American Pale Ale (APA)",0.055,40,16,"Burn 'Em Brewing","Michigan City"," IN"
"76","Tip Off","Altbier",0.052,29,16,"Sun King Brewing Company","Indianapolis"," IN"
"77","Cowbell","American Porter",0.054,23,16,"Sun King Brewing Company","Indianapolis"," IN"
"78","Hop Up Offa That Brett (2014)","Belgian Pale Ale",0.058,20,16,"Sun King Brewing Company","Indianapolis"," IN"
"79","PV Muckle (2013)","Scotch Ale / Wee Heavy",0.083,23,16,"Sun King Brewing Company","Indianapolis"," IN"
"80","Bourbon Barrel Batch 666: Sympathy for the Devil","Belgian Dark Ale",0.099,36,16,"Sun King Brewing Company","Indianapolis"," IN"
"81","Whip Fight","Scotch Ale / Wee Heavy",0.09,30,16,"Sun King Brewing Company","Indianapolis"," IN"
"82","Port Barrel Wee Mac ","Scotch Ale / Wee Heavy",0.053,23,16,"Sun King Brewing Company","Indianapolis"," IN"
"83","Fistful Of Hops Red","American IPA",0.064,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"84","Fistful of Hops Orange","American IPA",0.063,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"85","Fistful Of Hops Blue","American IPA",0.064,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"86","Fistful of Hops Green","American IPA",0.064,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"87","Wee Muckle","Scotch Ale / Wee Heavy",0.09,30,16,"Sun King Brewing Company","Indianapolis"," IN"
"88","Royal Brat","Extra Special / Strong Bitter (ESB)",0.065,55,16,"Sun King Brewing Company","Indianapolis"," IN"
"89","Grapefruit Jungle (GFJ)","American IPA",0.075,77,16,"Sun King Brewing Company","Indianapolis"," IN"
"90","Osiris Pale Ale","American Pale Ale (APA)",0.056,50,16,"Sun King Brewing Company","Indianapolis"," IN"
"91","Bourbon Barrel Aged Timmie","Russian Imperial Stout",0.099,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"92","Stupid Sexy Flanders","Flanders Oud Bruin",0.063,23,16,"Sun King Brewing Company","Indianapolis"," IN"
"93","Ring of Dingle","Irish Dry Stout",0.071,27,16,"Sun King Brewing Company","Indianapolis"," IN"
"94","Bourbon Barrel Wee Mac","Scottish Ale",0.054,23,16,"Sun King Brewing Company","Indianapolis"," IN"
"95","Bourbon Barrel Johan","English Barleywine",0.099,60,16,"Sun King Brewing Company","Indianapolis"," IN"
"96","The Velvet Fog","Quadrupel (Quad)",0.09,24,16,"Sun King Brewing Company","Indianapolis"," IN"
"97","Sun King Oktoberfest","Märzen / Oktoberfest",0.055,23,16,"Sun King Brewing Company","Indianapolis"," IN"
"98","Indianapolis Indians Lager","Dortmunder / Export Lager",0.052,24,16,"Sun King Brewing Company","Indianapolis"," IN"
"99","Indians Victory Lager (2012)","Dortmunder / Export Lager",0.052,24,16,"Sun King Brewing Company","Indianapolis"," IN"
"100","Isis","American Double / Imperial IPA",0.091,91,16,"Sun King Brewing Company","Indianapolis"," IN"
"101","Wee Muckle (2011)","Scotch Ale / Wee Heavy",0.09,30,16,"Sun King Brewing Company","Indianapolis"," IN"
