"","beer_name","style","abv","ibu","ounces","brewery_name","city","state","ounce"
"1","Get Together","American IPA","3","5","3","NorthGate Brewing ","Minneapolis"," MN","3"
"2","Maggie's Leap","Milk / Sweet Stout","3","3","3","NorthGate Brewing ","Minneapolis"," MN","3"
"3","Wall's End","English Brown Ale","3","2","3","NorthGate Brewing ","Minneapolis"," MN","3"
"4","Pumpion","Pumpkin Ale","4","4","3","NorthGate Brewing ","Minneapolis"," MN","3"
"5","Stronghold","American Porter","4","3","3","NorthGate Brewing ","Minneapolis"," MN","3"
"6","Parapet ESB","Extra Special / Strong Bitter (ESB)","4","5","3","NorthGate Brewing ","Minneapolis"," MN","3"
"7","Citra Ass Down","American Double / Imperial IPA","6","7","3","Against the Grain Brewery","Louisville"," KY","3"
"8","London Balling","English Barleywine","9","8","3","Against the Grain Brewery","Louisville"," KY","3"
"9","35 K","Milk / Sweet Stout","6","3","3","Against the Grain Brewery","Louisville"," KY","3"
"10","A Beer","American Pale Ale (APA)","3","5","3","Against the Grain Brewery","Louisville"," KY","3"
"11","Rules are Rules","German Pilsener","3","3","3","Against the Grain Brewery","Louisville"," KY","3"
"12","Flesh Gourd'n","Pumpkin Ale","5","3","3","Against the Grain Brewery","Louisville"," KY","3"
"13","Sho'nuff","Belgian Pale Ale","3","2","3","Against the Grain Brewery","Louisville"," KY","3"
"14","Bloody Show","American Pilsner","4","2","3","Against the Grain Brewery","Louisville"," KY","3"
"15","Rico Sauvin","American Double / Imperial IPA","6","7","3","Against the Grain Brewery","Louisville"," KY","3"
"16","Coq de la Marche","Saison / Farmhouse Ale","4","4","3","Against the Grain Brewery","Louisville"," KY","3"
"17","Pile of Face","American IPA","4","7","3","Against the Grain Brewery","Louisville"," KY","3"
"18","The Brown Note","English Brown Ale","3","2","3","Against the Grain Brewery","Louisville"," KY","3"
"19","House Lager","Keller Bier / Zwickel Bier","4","2","3","Jack's Abby Craft Lagers","Framingham"," MA","3"
"20","Leisure Time","American Pale Lager","3","2","2","Jack's Abby Craft Lagers","Framingham"," MA","2"
"21","Excess IPL","American India Pale Lager","5","8","3","Jack's Abby Craft Lagers","Framingham"," MA","3"
"22","Hoponius Union","American India Pale Lager","5","7","2","Jack's Abby Craft Lagers","Framingham"," MA","2"
"23","Calyptra","American India Pale Lager","3","5","2","Jack's Abby Craft Lagers","Framingham"," MA","2"
"24","Habitus (2014)","American Double / Imperial IPA","6","10","3","Mike Hess Brewing Company","San Diego"," CA","3"
"25","Solis","American IPA","5","9","3","Mike Hess Brewing Company","San Diego"," CA","3"
