Column1,abv,ibu,id,name,style,brewery_id,ounces
41,0.059,,2517,Rod Bender Red,American Amber,67,12
45,0.06,,2288,Reprise Centennial Red,American Amber,60,12
62,0.055,26,1165,Colorado Native,American Amber,462,12
63,0.055,26,431,Colorado Native (2011),American Amber,462,12
66,0.045,17,514,Abita Amber,American Amber,533,12
99,0.049,,2103,California Lager,American Amber,35,12
108,0.058,15,1326,Boont Amber Ale,American Amber,171,12
111,0.058,15,811,Boont Amber Ale (2010),American Amber,171,12
116,0.058,15,78,Boont Amber Ale (2011),American Amber,171,12
143,0.077,,1638,Aslan Amber,American Amber,353,16
149,0.06,35,978,Old Red Beard Amber Ale,American Amber,374,12
172,0.061,41,702,Hot Rod Red,American Amber,360,12
177,0.05,,1131,Back East Ale,American Amber,235,12
190,0.035,45,1643,Banner American Ale,American Amber,318,12
209,0.055,35,533,Amber Road,American Amber,292,12
242,0.067,85,1067,Disconnected Red,American Amber,220,16
265,0.058,38,2095,Wavemaker,American Amber,221,12
283,0.066,44,1847,Colorado Red Ale,American Amber,294,12
285,0.046,20,2484,Bomber Mountain Amber Ale,American Amber,79,12
296,0.08,,1320,Last Call Imperial Amber Ale,American Amber,380,12
317,,,2488,Van Dayum!,American Amber,77,12
375,0.055,,470,Bozone Select Amber Ale,American Amber,219,12
376,0.052,40,2167,Evil Owl,American Amber,207,12
381,0.054,19,83,Avalanche Ale,American Amber,391,12
387,0.053,,2468,Manitou Amber,American Amber,85,16
436,0.06,,1044,Big Red Coq,American Amber,10,16
442,0.062,,677,Big Red Coq (2012),American Amber,10,16
452,0.061,,2456,Broad Brook Ale,American Amber,89,16
453,0.05,15,921,Northern Lights Amber Ale,American Amber,493,12
461,0.052,,66,Brooklyn Lager (16 oz.),American Amber,437,16
462,0.052,,65,Brooklyn Lager (12 oz.),American Amber,437,12
467,0.062,42,28,Tule Duck Red Ale (Current),American Amber,530,16
500,0.063,35,2213,Native Amber,American Amber,182,16
