"","beer_name","style","abv","ibu","ounces","brewery_name","city","state"
"1","Get Together","American IPA",0.045,50,16,"NorthGate Brewing ","Minneapolis"," MN"
"2","Pile of Face","American IPA",0.06,65,16,"Against the Grain Brewery","Louisville"," KY"
"3","Rico Sauvin","American Double",0.076,68,16,"Against the Grain Brewery","Louisville"," KY"
"4","Citra Ass Down","American Double",0.08,68,16,"Against the Grain Brewery","Louisville"," KY"
"5","Habitus (2014)","American Double",0.08,100,16,"Mike Hess Brewing Company","San Diego"," CA"
"6","Solis","American IPA",0.075,85,16,"Mike Hess Brewing Company","San Diego"," CA"
"7","Habitus","American Double",0.08,100,16,"Mike Hess Brewing Company","San Diego"," CA"
"8","Westfalia","American Amber",0.056,16,12,"Fort Point Beer Company","San Francisco"," CA"
"9","Villager","American IPA",0.063,42,12,"Fort Point Beer Company","San Francisco"," CA"
"10","North 45 Amber Ale","American Amber",0.059,25,16,"Petoskey Brewing","Petoskey"," MI"
"11","Mind's Eye PA","American IPA",0.067,74,16,"Petoskey Brewing","Petoskey"," MI"
"12","51K IPA","American IPA",0.07,51,12,"Blackrocks Brewery","Marquette"," MI"
"13","Nordskye ","American IPA",0.048,47,12,"Blackrocks Brewery","Marquette"," MI"
"14","Grapefruit IPA","American IPA",0.05,35,12,"Perrin Brewing Company","Comstock Park"," MI"
"15","98 Problems (Cuz A Hop Ain't One)","American IPA",0.065,65,12,"Perrin Brewing Company","Comstock Park"," MI"
"16","Train Hopper","American IPA",0.058,72,12,"Witch's Hat Brewing Company","South Lyon"," MI"
"17","Centennial IPA","American IPA",0.072,65,12,"Founders Brewing Company","Grand Rapids"," MI"
"18","All Day IPA","American IPA",0.047,42,12,"Founders Brewing Company","Grand Rapids"," MI"
"19","Half Cycle IPA","American IPA",0.06,104,16,"Flat 12 Bierwerks","Indianapolis"," IN"
"20","Alloy","American IPA",0.058,36,16,"Tin Man Brewing Company","Evansville"," IN"
"21","Overlord Imperial IPA","American Double",0.085,115,16,"Tin Man Brewing Company","Evansville"," IN"
"22","Thai.p.a","American IPA",0.07,46,16,"Bare Hands Brewery","Granger"," IN"
"23","The Gadget","American IPA",0.064,90,16,"Four Fathers Brewing ","Valparaiso"," IN"
"24","Hopkick Dropkick","American Double",0.099,115,12,"Burn 'Em Brewing","Michigan City"," IN"
"25","3:33 Black IPA","American IPA",0.072,86,16,"Burn 'Em Brewing","Michigan City"," IN"
"26","Grapefruit Jungle (GFJ)","American IPA",0.075,77,16,"Sun King Brewing Company","Indianapolis"," IN"
"27","Fistful Of Hops Red","American IPA",0.064,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"28","Isis","American Double",0.091,91,16,"Sun King Brewing Company","Indianapolis"," IN"
"29","Grapefruit Jungle (GFJ) (2011)","American IPA",0.075,77,16,"Sun King Brewing Company","Indianapolis"," IN"
"30","Fistful of Hops Green","American IPA",0.064,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"31","Fistful of Hops Orange","American IPA",0.063,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"32","Fistful Of Hops Blue","American IPA",0.064,75,16,"Sun King Brewing Company","Indianapolis"," IN"
"33","Scarecrow","American IPA",0.069,65,16,"450 North Brewing Company","Columbus"," IN"
"34","Citrafest","American IPA",0.05,45,16,"450 North Brewing Company","Columbus"," IN"
"35","Dankosaurus","American IPA",0.068,70,16,"Cedar Creek Brewery","Seven Points"," TX"
"36","Gone A-Rye","American Double",0.085,90,16,"Cedar Creek Brewery","Seven Points"," TX"
"37","Epicenter Amber Ale","American Amber",0.055,20,12,"SanTan Brewing Company","Chandler"," AZ"
"38","Count Hopula (Vault Series)","American Double",0.091,99,16,"SanTan Brewing Company","Chandler"," AZ"
"39","Hop Shock IPA (2010)","American IPA",0.07,85,12,"SanTan Brewing Company","Chandler"," AZ"
"40","Epicenter Amber Ale (2010)","American Amber",0.055,20,12,"SanTan Brewing Company","Chandler"," AZ"
"41","Hop Shock IPA","American IPA",0.07,85,12,"SanTan Brewing Company","Chandler"," AZ"
"42","Heavy Lifting","American IPA",0.062,80,12,"Boulevard Brewing Company","Kansas City"," MO"
"43","Double Trunk","American Double",0.099,101,16,"The Dudes' Brewing Company","Torrance"," CA"
"44","Big Eye India Pale Ale","American IPA",0.07,75,12,"Ballast Point Brewing Company","San Diego"," CA"
"45","Even Keel","American IPA",0.038,40,12,"Ballast Point Brewing Company","San Diego"," CA"
"46","Sculpin IPA","American IPA",0.07,70,12,"Ballast Point Brewing Company","San Diego"," CA"
"47","Avery India Pale Ale","American IPA",0.063,69,12,"Avery Brewing Company","Boulder"," CO"
"48","Cow Creek","American Amber",0.054,26,12,"Twisted X Brewing Company","Dripping Springs"," TX"
